<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.03	04:00:00	2018.425	2019.433	2015.906	2015.932	2096	0	200
2023.05.03	05:00:00	2015.928	2016.536	2014.526	2014.891	2504	0	200
2023.05.03	06:00:00	2014.922	2018.633	2014.331	2017.972	3596	0	200
2023.05.03	07:00:00	2017.937	2018.685	2012.609	2014.820	4664	0	200
2023.05.03	08:00:00	2014.800	2016.678	2014.274	2015.595	3988	0	200
2023.05.03	09:00:00	2015.592	2017.406	2015.267	2016.977	3477	0	200
2023.05.03	10:00:00	2016.956	2017.399	2015.202	2016.474	3527	0	200
2023.05.03	11:00:00	2016.460	2017.006	2014.318	2015.816	3522	0	200
2023.05.03	12:00:00	2015.849	2016.255	2007.565	2013.628	8674	0	200
2023.05.03	13:00:00	2013.662	2020.088	2012.349	2013.667	8565	0	200
2023.05.03	14:00:00	2013.633	2021.952	2011.770	2021.205	10861	0	200
2023.05.03	15:00:00	2021.210	2026.758	2020.233	2023.523	6942	0	200
2023.05.03	16:00:00	2023.492	2025.245	2022.815	2024.028	4608	0	200
2023.05.03	17:00:00	2023.998	2028.536	2022.361	2023.448	5276	0	200
2023.05.03	18:00:00	2023.416	2035.924	2016.941	2022.872	26612	0	200
2023.05.03	19:00:00	2022.908	2035.995	2019.107	2035.079	14589	0	200
2023.05.03	20:00:00	2035.110	2040.405	2029.043	2039.418	6025	0	200
2023.05.03	22:00:00	2061.996	2079.817	2044.600	2056.631	18389	0	200
2023.05.03	23:00:00	2056.639	2056.786	2050.629	2051.957	5361	0	200
2023.05.04	00:00:00	2051.959	2057.096	2051.864	2054.395	5210	0	200
2023.05.04	01:00:00	2054.364	2054.892	2043.438	2044.513	9457	0	200
2023.05.04	02:00:00	2044.480	2046.447	2038.222	2043.534	5466	0	200
2023.05.04	03:00:00	2043.508	2043.604	2039.725	2040.905	3516	0	200
2023.05.04	04:00:00	2040.872	2045.435	2040.671	2044.251	3286	0	200
2023.05.04	05:00:00	2044.220	2045.430	2041.308	2042.859	3946	0	200
2023.05.04	06:00:00	2042.892	2043.483	2036.489	2039.171	7681	0	200
2023.05.04	07:00:00	2039.148	2039.441	2030.327	2034.570	6862	0	200
2023.05.04	08:00:00	2034.507	2035.534	2031.123	2034.456	5201	0	200
2023.05.04	09:00:00	2034.424	2038.461	2033.704	2037.720	4634	0	200
2023.05.04	10:00:00	2037.750	2040.629	2036.602	2039.897	4614	0	200
2023.05.04	11:00:00	2039.867	2044.829	2039.608	2041.984	5382	0	200
2023.05.04	12:00:00	2041.953	2042.882	2033.697	2036.891	12550	0	200
2023.05.04	13:00:00	2036.862	2045.415	2032.038	2044.323	14215	0	200
2023.05.04	14:00:00	2044.287	2059.537	2042.920	2055.229	24182	0	200
2023.05.04	15:00:00	2055.259	2055.988	2043.372	2050.938	14516	0	200
2023.05.04	16:00:00	2050.971	2054.057	2047.239	2050.780	8501	0	200
2023.05.04	17:00:00	2050.747	2050.970	2044.437	2046.221	8271	0	200
2023.05.04	18:00:00	2046.189	2050.742	2044.962	2049.471	6175	0	200
2023.05.04	19:00:00	2049.503	2050.257	2047.155	2049.555	5881	0	200
2023.05.04	20:00:00	2049.586	2050.885	2049.012	2050.050	3059	0	200
2023.05.04	22:00:00	2049.450	2049.764	2047.480	2049.061	1759	0	200
2023.05.04	23:00:00	2049.024	2050.067	2048.575	2049.922	1643	0	200
2023.05.05	00:00:00	2049.924	2049.933	2048.211	2048.898	2345	0	200
2023.05.05	01:00:00	2048.929	2052.957	2048.296	2051.972	4712	0	200
2023.05.05	02:00:00	2051.958	2052.053	2045.436	2046.878	3717	0	200
2023.05.05	03:00:00	2046.871	2050.845	2046.540	2049.749	3752	0	200
2023.05.05	04:00:00	2049.782	2051.099	2048.437	2048.497	2065	0	200
2023.05.05	05:00:00	2048.501	2049.588	2045.566	2045.922	3733	0	200
2023.05.05	06:00:00	2045.914	2048.321	2044.671	2047.097	5041	0	200
2023.05.05	07:00:00	2047.066	2047.442	2039.307	2040.507	5467	0	200
2023.05.05	08:00:00	2040.509	2041.664	2038.807	2039.834	4205	0	200
2023.05.05	09:00:00	2039.874	2040.197	2037.302	2037.796	3816	0	200
2023.05.05	10:00:00	2037.825	2039.320	2036.157	2039.209	3772	0	200
